"site_id_unique","timeset","x","y","dataset","dclass","waterlog.30","waterlog.50","waterlog.100","ph.0.10","ph.10.30","ph.30.50","ph.50.100"
"4_26-In-005","d1968_1974_ptf",2571994,1203001,"validation","poor",0,0,1,6.07173247019741,6.22778042983964,7.10923535750127,7.21458873039164
"4_26-In-006","d1974_1978",2572149,1202965,"calibration","poor",0,1,1,6.9,6.94712810462011,7.20350169216891,7.7
"4_26-In-012","d1974_1978",2572937,1203693,"calibration","moderate",0,1,1,6.2,6.14712810462011,5.60350169216891,5.90435501582597
"4_26-In-014","d1974_1978",2573374,1203710,"validation","well",0,0,0,6.6,6.75460707659964,7.2,7.15112889634323
"4_26-In-015","d1968_1974_ptf",2573553,1203935,"validation","moderate",0,0,1,6.27271462409381,6.27271462409381,6.71839202261164,7.26900783151746
"4_26-In-016","d1968_1974_ptf",2573310,1204328,"calibration","poor",0,0,1,6.27271462409381,6.16069955886492,5.55903076468159,5.16165539538049
"4_26-In-024","d1968_1974_ptf",2571544,1203794,"calibration","poor",0,0,1,6.47369677799021,6.31492397955842,6.27271462409381,6.9761521627312
"4_26-In-025","d1968_1974_ptf",2571420,1203699,"calibration","poor",1,1,1,6.6746789318866,6.56266386665772,6.47369677799021,6.66899506433786
"4_26-In-026","d1968_1974_ptf",2571118,1203721,"calibration","poor",1,1,1,6.7751700088348,6.7751700088348,6.67808264746762,6.68562637382288
"4_26-In-027","d1968_1974_ptf",2571022,1203885,"validation","well",0,0,1,6.7751700088348,6.81737936429941,6.98521731447742,6.74317919872631
"4_26-In-028","d1968_1974_ptf",2570580,1203470,"calibration","poor",0,0,0,6.875661085783,7.09894295128372,7.378116470524,7.20654250644425
"4_26-In-031","d1968_1974_ptf",2570733,1204495,"calibration","poor",0,1,1,6.7751700088348,6.97946714086689,7.51948963325395,7.53607452147639
"4_26-In-032","d1968_1974_ptf",2570610,1204524,"calibration","moderate",0,0,1,6.7751700088348,6.8568191908574,7.2776253935758,7.39243750133422
"4_26-In-033","d1968_1974_ptf",2570903,1204700,"calibration","poor",0,1,1,7.0766432396794,7.21583945361969,7.5016354004028,7.4786075474722
"4_26-In-034","d1968_1974_ptf",2571166,1204736,"calibration","well",0,0,1,6.9761521627312,7.13220012237344,7.378116470524,7.14644069313728
"4_26-In-035","d1968_1974_ptf",2571245,1204874,"calibration","poor",0,0,1,6.875661085783,6.875661085783,6.39481370164613,5.82614087554325
"4_26-In-038","d1968_1974_ptf",2571658,1205555,"calibration","well",0,0,0,6.5741878549384,6.67727121734864,6.9761521627312,7.16958527637277
"4_26-In-043","d1968_1974_ptf",2572613,1205675,"calibration","poor",0,1,1,6.07173247019741,6.03907144113005,5.57259206359209,5.43795075929286
"4_26-In-047","d1968_1974_ptf",2571316,1204473,"validation","moderate",0,0,1,6.7751700088348,6.7751700088348,6.9761521627312,7.31654060485288
"4_46-In-013","d1968_1974_field",2573253,1203763,"calibration","poor",0,1,1,6.6,6.45446023412151,5.82202024601141,3.90189374691937
"4_35-In-070","d1968_1974_field",2570923,1205059,"validation","poor",1,1,1,7.6,7.69665228498981,8.27799996267126,8.45516688696116
"4_35-In-071","d1968_1974_field",2571100,1205253,"calibration","poor",1,1,1,7.6,7.57807299314909,7.5,7.36324005655563
"4_35-In-075","d1968_1974_field",2572032,1207359,"calibration","well",0,0,0,6.8,6.84712810462011,6.9,7.23617851446327
"4_35-In-077","d1968_1974_field",2571982,1207067,"validation","poor",0,0,1,8.5,8.02202024601142,7.8,7.5
"4_35-In-078","d1968_1974_field",2572462,1207106,"calibration","well",0,0,0,7.1,7.04712810462011,7,7
"4_35-In-081","d1968_1974_ptf",2572168,1206799,"calibration","poor",1,1,1,6.17222354714561,5.995836747713,5.87075031630101,6.07173247019741
"4_35-In-082","d1968_1974_field",2572299,1206866,"calibration","poor",1,1,1,7,6.88858739286964,6.8,6.8
"4_35-In-084","d1968_1974_field",2572073,1206276,"validation","poor",1,1,1,7,6.16611326882867,5.58475440808344,7.62843196979322
"4_35-In-085","d1968_1974_field",2572317,1206097,"calibration","poor",1,1,1,7.6,7.55213487965858,7.5,8.01512412133059
"4_35-In-086","d1968_1974_ptf",2572232,1206430,"validation","well",0,0,0,7.2776253935758,7.3936453977418,8.4835183169542,8.4835183169542
"4_35-In-087","d1968_1974_field",2572486,1206355,"calibration","poor",1,1,1,7.1,6.9245951332275,6.8,6.8
"4_35-In-088","d1968_1974_field",2572595,1206704,"calibration","poor",1,1,1,7,6.94712810462011,6.84712810462011,6.88015341174985
"4_35-In-089","d1968_1974_field",2572785,1206430,"calibration","poor",1,1,1,7,6.88858739286964,6.8,6.75720004928893
"4_35-In-090","d1968_1974_field",2572861,1206673,"calibration","poor",0,1,1,7.4,7.34712810462011,7.22765899164598,6.8325583357643
"4_35-In-091","d1968_1974_ptf",2572884,1206819,"calibration","poor",1,1,1,7.1771343166276,7.30222074803959,7.34728122130865,6.80233990291139
"4_35-In-092","d1968_1974_field",2572924,1206919,"calibration","moderate",1,1,1,7.3,7.19852721718492,7.1,6.87498715861643
"4_35-In-093","d1968_1974_field",2573148,1207026,"calibration","poor",1,1,1,7.2,7.13244505914179,7.00448922809068,7
"4_35-In-094","d1968_1974_field",2573196,1206927,"calibration","poor",0,0,1,7.5,7.5,7.5,7.5
"4_35-In-095","d1968_1974_field",2572101,1207152,"calibration","well",0,0,0,7.8,7.83329922358877,8,8
"4_35-In-096","d1968_1974_field",2573323,1206388,"calibration","poor",0,1,1,6.9,6.91824224046031,6.98345183318377,6.9
"4_35-In-097","d1968_1974_field",2573884,1205924,"calibration","poor",1,1,1,7.4,6.74953305363875,6.5,6.30321735183837
"4_35-In-099","d1968_1974_field",2572790,1206065,"calibration","poor",1,1,1,6.4,6.26075973066439,6,6
"4_35-In-100","d1968_1974_field",2573168,1206161,"calibration","poor",1,1,1,7,6.48811663902113,6,6
"4_35-In-101","d1968_1974_field",2573136,1205868,"calibration","poor",1,1,1,6.8,6.68858739286964,6.6,6.6
"4_35-In-102","d1968_1974_field",2573462,1205737,"calibration","poor",1,1,1,6.3,6.34712810462011,6.4,6.4
"4_35-In-103","d1968_1974_field",2573058,1205510.99999999,"validation","poor",1,1,1,7.2,7.28858739286964,7.4,7.46335727768405
"4_35-In-104","d1968_1974_field",2572815,1205315,"calibration","poor",1,1,1,6.9,6.9,6.9,6.91824224046031
"4_35-In-105","d1968_1974_field",2573714,1205354.99999999,"calibration","poor",0,1,1,6.9,6.9,6.8,6.8
"4_35-In-106","d1968_1974_field",2573535,1205004,"validation","poor",1,1,1,7.4,7.4,7.4,7.59382002601611
"4_35-In-107","d1968_1974_field",2573545,1204625,"validation","poor",0,1,1,7.5,7.28332736330166,6.83313020882274,6.52656022388044
"4_35-In-108","d1968_1974_field",2573868,1204731,"calibration","poor",1,1,1,6.9,6.58169894759789,6.4,5.5
"4_35-In-109","d1968_1974_field",2573931,1204540,"calibration","poor",1,1,1,6.7,6.78858739286964,6.9,6.9
"4_35-In-110","d1968_1974_field",2574245,1204727,"calibration","poor",1,1,1,6.1,6.14712810462011,6.2,6.35460707659964
"4_35-In-111","d1968_1974_field",2574447,1204440,"validation","poor",1,1,1,6.9,6.9,6.84712810462011,6.80972445527754
"4_35-In-112","d1968_1974_field",2574487,1204133,"calibration","poor",0,1,1,6,6.1245951332275,5.62636161569887,5.5
"4_35-In-113","d1968_1974_field",2574278,1204003,"calibration","poor",1,1,1,6.3,6.24712810462011,5.17050748924526,4.6
"4_35-In-114","d1968_1974_field",2574092,1203377,"calibration","poor",1,1,1,6.5,6.20486742346101,5.67082291966543,5.829341874475
"4_35-In-115","d1968_1974_field",2574004,1203297,"calibration","poor",1,1,1,5.7,5.58858739286964,5.5,3.79389889097634
"4_35-In-116","d1968_1974_field",2574717,1203334,"calibration","well",0,0,1,6.6,6.28169894759789,4.88750907355594,4.8832384667806
"4_35-In-117","d1968_1974_field",2575231,1203631,"calibration","poor",1,1,1,5.8,5.6245951332275,5.5,4.58618614761628
"4_35-In-118","d1968_1974_field",2575203,1203827,"validation","poor",0,0,1,6.5,6.42116181449061,6.2,5
"4_35-In-119","d1968_1974_field",2575036,1204317,"calibration","poor",1,1,1,6.2,6.06075973066439,5.11961692261665,4.5
"4_35-In-120","d1968_1974_field",2574929,1204806,"calibration","poor",0,1,1,6.7,6.51231872844697,6.2,6.3935621454139
"4_35-In-121","d1968_1974_field",2574929,1205150,"calibration","poor",1,1,1,6.9,6.3371379615206,6.1,6.1
"4_35-In-122","d1968_1974_field",2575130,1204991,"calibration","poor",0,0,1,8,7.55284196865778,7,6.93728445895503
"4_35-In-123","d1968_1974_field",2575189,1205155,"calibration","well",0,0,0,7.3,7.38858739286964,7.51096894361851,7.8
"4_35-In-124","d1968_1974_field",2575520,1205069,"calibration","poor",0,1,1,6.9,6.7245951332275,6.50869987651923,6.4
"4_35-In-125","d1968_1974_field",2576325,1204843,"calibration","poor",0,0,1,7.4,6.8371379615206,6.62292509377807,6.71638314648076
"4_35-In-126","d1968_1974_field",2576133,1204698,"calibration","poor",0,1,1,6.7,6.65195513241139,5.18595981586258,4.55720004928893
"4_35-In-128","d1968_1974_field",2575690,1204724,"calibration","poor",1,1,1,6.6,5.76783437567555,5.5,6.3704596274654
"4_35-In-129","d1968_1974_field",2575862,1204698,"calibration","poor",0,1,1,8.1,6.98407570638445,5.9,6.1039544307365
"4_35-In-130","d1968_1974_field",2575393,1204554,"calibration","poor",0,1,1,6.4,6.4,6.12222212346932,6.26761213654235
"4_35-In-131","d1968_1974_field",2575363,1204324,"calibration","poor",0,0,1,7,6.79690879161322,6.4,6.54850870667503
